,Star_name,Distance,Radius,Luminosity,,Unnamed: 0,Star_name,Distance,Mass,Radius
0,Sun,0.000015813,1,1,,,,,,
1,Sirius,0008.6,1.71Â´,25.4,,,,,,
2,Canopus,0310,71,"13,500",,,,,,
3,Alpha Centauri,0004.4,1.2,2,,,,,,
4,Arcturus,0037,26,170,,,,,,
5,Vega,0025,2.7,50,,,,,,
6,Capella,0043,12,150,,,,,,
7,Rigel,0860,78.9,"120,000",,,,,,
8,Procyon,0011.4,1.9,7.7,,,,,,
9,Betelgeuse,0640[1],950,"60,000",,,,,,
10,Achernar,0144,9.3,"3,000",,,,,,
11,Hadar,0390,8.6,"42,000",,,,,,
12,Altair,0017,1.8,10.5,,,,,,
13,Acrux,0320,8.9,"25,000",,,,,,
14,Aldebaran,0065,44,520,,,,,,
15,Antares,0600,680,"75,000",,,,,,
16,Spica,0260,7.47,"20,512",,,,,,
17,Pollux,0034,8.8,43,,,,,,
18,Fomalhaut,0025,1.8,16.6,,,,,,
19,Deneb,"2,600",203,"200,000",,,,,,
20,Mimosa,0350,8.4,"34,000",,,,,,
21,Regulus,0077,3.1,290,,,,,,
22,Adhara,0430,14,"39,000",,,,,,
23,Shaula,0700,8.8,"36,000",,,,,,
24,Castor,0052,2.4,30,,,,,,
25,Gacrux,0088,84,820,,,,,,
26,Bellatrix,0240,5.8,"9,200",,,,,,
27,Elnath,0130,4.2,700,,,,,,
28,Miaplacidus,0110,6.8,290,,,,,,
29,Alnilam,"2,000",42,"380,000",,,,,,
30,Gamma Velorum,"1,100",6,"170,000",,,,,,
31,Alnair,0101,3.4,260,,,,,,
32,Alioth,0081,4.2,110,,,,,,
33,Alnitak,01050,20,"120,000",,,,,,
34,Dubhe,0120,30,300,,,,,,
35,Mirfak,0590,68,"5,000",,,,,,
36,Wezen,"1,600",200,"82,000",,,,,,
37,Sargas,0270,26,"1,800",,,,,,
38,Kaus Australis,0140,6.8,360,,,,,,
39,Avior,0630,130,"60,000",,,,,,
40,Alkaid,0104,3.4,"1,350",,,,,,
41,Menkalinan,081,2.77,50,,,,,,
42,Atria,0390,92,"5,500",,,,,,
43,Alhena,0109,3.3,120,,,,,,
44,Peacock,0180,4.8,"2,200",,,,,,
45,Alsephina[2],0080,2.9,90,,,,,,
46,Mirzam,0500,10,"27,000",,,,,,
47,Polaris,0430,39,"2,500",,,,,,
48,Alphard,0180,50,780,,,,,,
49,Scheat,0196,95,"1,500",,,,,,
50,Almaaz,0653,140,"43,000",,,,,,
51,Rasalgethi,0360,280,"8,300",,,,,,
52,Tau Ceti,011.9,0.893,0.52,,,,,,
53,Delta Pavonis,019.92,1.22,1.22,,,,,,
54,Ran,010.48,0.74,0.34,,,,,,
55,V382 Carinae,"8,900",485,"212,000",,,,,,
56,Eta Carinae,"7,500",60â€“881,"5,000,000",,,,,,
57,Delta Cephei,0887,44.5,"2,000",,,,,,
58,Mu Cephei,"6,000",972,"135,000",,,,,,
59,Titawin,044.25,1.48,3.57,,,,,,
60,Rho Cassiopeiae,"8,154",636-981,"347,000 - 530,000",,,,,,
61,P Cygni,"5,545",76,"610,000",,,,,,
62,La Superba,"1,000",129 - 342,"2,472 - 5,800",,,,,,
63,VV Cephei,"4,900","516 - 1,050","200,000",,,,,,
64,61 Cygni,011.41,0.665,0.153,,,,,,
65,R Doradus,0178,298,"4,350",,,,,,
66,Polaris Australis,0281,3.74,38,,,,,,
67,R Coronae Borealis,"4,566",85,"10,000",,,,,,
68,54 Piscium,036.1,0.94,0.52,,,,,,
69,Mira,0300,370,"9,000",,,,,,
70,RW Cephei,"14,000","1,158","417,000",,,,,,
71,Lacaille 8760,012.87,0.51,0.072,,,,,,
72,V838 Monocerotis,"19,896",380 - 750,"15,000",,,,,,
73,HD 140283,0190,1.4,3.83,,,,,,
74,II Pegasi,0130,3.4,1.06,,,,,,
75,VY Canis Majoris,"3,900","1,420","178,000 - 270,000",,,,,,
76,Pistol Star,"25,000",320,"1,700,000",,,,,,
77,S Doradus,"169,000",380,"910,000",,,,,,
78,UY Scuti,"5,100",755,"86,300 - 87,100",,,,,,
79,Barnard's Star,05.98,0.2,0.0035,,,,,,
80,Luhman 16,06.52,?,?,,,,,,
81,Proxima Centauri,04.25,0.15,0.0017,,,,,,
82,KIC 8462852,"1,470",1.58,4.68,,,,,,
83,R136a1,"163,000",32,"8,710,000",,,,,,
84,Melnick 42,"163,000",21.1,"3,600,000",,,,,,
85,WR 102,"18,134",0.39,"282,000",,,,,,
86,VFTS 352,"164,000",14.47,"330,000",,,,,,
87,YBP 1194,"2,772",0.99,0.98,,,,,,
88,Gliese 1214,047.5,0.21,0.0033,,,,,,
89,NML Cygni,"5,251","1,640 - 2,770","229,000",,,,,,
90,VB 10,018.72,0.1,0.0004,,,,,,
91,WOH G64,"163,000","1,540 - 1,730","340-589,000",,,,,,
92,TRAPPIST-1,039.6,0.12,0.0005,,,,,,
93,2MASS J0523-1403,040.3,0.086,0.00013,,,,,,
94,WISE 0855âˆ’0714,07.27,?,?,,,,,,
95,Icarus,"14,400,000,000",?,"850,000",,,,,,
0,0,SDSS J000013.54+255418.6Â [de],0.045820224,0.10173536999999999,,,,,,
1,1,2MASS J00040288-6410358,0.018137172,0.16750368999999998,,,,,,
3,3,2MASS J00242463-0158201,0.075412452,0.11201167000000001,,,,,,
5,5,2MASS J00274197+0503417,0.029592228,0.14797871999999998,,,,,,
7,7,2MASSW J0030300-145033,0.051547752,0.10070773999999999,,,,,,
8,8,2MASS J00332386-1521309Â [de],0.027683052,0.14695108999999998,,,,,,
9,9,2MASS J00345157+0523050,0.040092696000000004,0.09659722,,,,,,
10,10,2MASS 0036+1821,0.040092696000000004,0.09659722,,,,,,
11,11,2MASSW J0045214+163445,0.021955524,0.16647606,,,,,,
12,12,WISEP J004701.06+680352.1Â [fr],0.011455056,0.13359189999999999,,,,,,
13,13,2MASS J00501994-3322402Â [de],0.03818352,0.09659722,,,,,,
15,15,2MASS J00584253-0651239Â [de],0.027683052,0.14695108999999998,,,,,,
17,17,2MASSI J0103320+193536,0.049638576000000004,0.10070773999999999,,,,,,
18,18,SDSSp J010752.33+004156.1Â [de],0.049638576000000004,0.10070773999999999,,,,,,
19,19,2MASSI J0117474-340325Â [de],0.01909176,0.16647606,,,,,,
20,20,2MASS J01415823-4633574Â [de],0.01909176,0.16544843,,,,,,
21,21,SDSS J015141.69+124429.6,0.044865636,0.09968011,,,,,,
25,25,SDSS J020742.48+000056.2Â [de],0.044865636,0.09968011,,,,,,
26,26,2MASS J02103857-3015313,0.014318820000000001,0.15722739,,,,,,
27,27,2MASS J02340093-6442068,0.01909176,0.16647606,,,,,,
28,28,2MASS J02411151-0326587Â [de],0.025773876,0.14489582999999998,,,,,,
29,29,2MASS J02431371âˆ’2453298,0.031501404000000004,0.10173536999999999,,,,,,
30,30,LP 771-21,0.074457864,0.11098404,,,,,,
32,32,Teegarden's star,0.07636704,0.13050900999999998,,,,,,
33,33,2MASS J02535980+3206373,0.06204822,0.19524969999999997,,,,,,
34,34,WISE J0254+0223,0.06204822,0.19524969999999997,,,,,,
35,35,DEN 0255-4700,0.07636704,0.09968011,,,,,,
36,36,2MASS J03185403-3421292Â [de],0.046774812,0.09968011,,,,,,
37,37,2MASS J03205965+1854233,0.084003744,0.11817744999999999,,,,,,
38,38,2MASS J03231002-4631237,0.021955524,0.17058658,,,,,,
39,39,SDSS J032553.17+042540.1,0.04295646,0.09762485,,,,,,
40,40,2MASS J03264225-2102057Â [de],0.017182584,0.13359189999999999,,,,,,
41,41,2MASS J03284265+2302051Â [de],0.051547752,0.10070773999999999,,,,,,
42,42,2MASS J03341218-4953322,0.069684924,0.10687352,,,,,,
43,43,LP 944-20,0.069684924,0.14695108999999998,,,,,,
44,44,2MASP J0345432+254023,0.070639512,0.10790115,,,,,,
45,45,Teide 1,0.05250234,0.38844413999999994,,,,,,
46,46,2MASS J03510004-0052452,0.097367976,0.13050900999999998,,,,,,
47,47,2MASS J03552337+1133437,0.01909176,0.13564716,,,,,,
49,49,2MASS J04151954âˆ’0935066,0.028637640000000002,0.09762485,,,,,,
51,51,2MASS J04285096-2253227Â [de],0.07636704,0.11201167000000001,,,,,,
52,52,2MASS J04351612-1606574,0.0954588,0.12948137999999998,,,,,,
53,53,2MASS J04362788-4114465,0.037228932,0.20244310999999998,,,,,,
54,54,2MASS J04390101-2353083Â [de],0.045820224,0.09968011,,,,,,
56,56,2MASS J04433764+0002040,0.021000936,0.18291813999999998,,,,,,
